,reviews,review_lower,review_nopunc,review_nostop,review_noother,cleaned_review,polarity,subjectivity
0,"It's not a 5-star retardant ofc, but as McDonald's goes, go to this one. This one is a well oiled McDonald's. If it only has 2.5 stars it must be because of peoples' prejudice against fast food joints. Yes it's all those things. But if you like or want Mickey D's, go to this one. You could do so much worse, like the one on La Cienega, these places are owned by different people and it shows. The staff is friendly too. They actually are open 24/7, and my order was dee-lish. So if you're reviewing it, don't compare it with mastros, compare it with any other McDonalds you can think of and ask yourself--how's this one compare? If the answer is at least ""favorably"", i recommend 5-stars.","it's not a 5-star retardant ofc, but as mcdonald's goes, go to this one. this one is a well oiled mcdonald's. if it only has 2.5 stars it must be because of peoples' prejudice against fast food joints. yes it's all those things. but if you like or want mickey d's, go to this one. you could do so much worse, like the one on la cienega, these places are owned by different people and it shows. the staff is friendly too. they actually are open 24/7, and my order was dee-lish. so if you're reviewing it, don't compare it with mastros, compare it with any other mcdonalds you can think of and ask yourself--how's this one compare? if the answer is at least ""favorably"", i recommend 5-stars.",its not a 5star retardant ofc but as mcdonalds goes go to this one this one is a well oiled mcdonalds if it only has 25 stars it must be because of peoples prejudice against fast food joints yes its all those things but if you like or want mickey ds go to this one you could do so much worse like the one on la cienega these places are owned by different people and it shows the staff is friendly too they actually are open 247 and my order was deelish so if youre reviewing it dont compare it with mastros compare it with any other mcdonalds you can think of and ask yourselfhows this one compare if the answer is at least favorably i recommend 5stars,5star retardant ofc mcdonalds goes go one one well oiled mcdonalds 25 stars must peoples prejudice fast food joints yes things like want mickey ds go one could much worse like one la cienega places owned different people shows staff friendly actually open 247 order deelish youre reviewing dont compare mastros compare mcdonalds think ask yourselfhows one compare answer least favorably recommend 5stars,5star retardant ofc mcdonalds goes well oiled mcdonalds 25 stars must peoples prejudice fast food joints yes things like want mickey ds could much worse like la cienega places owned different people shows staff friendly actually open 247 order deelish youre reviewing dont compare mastros compare mcdonalds think ask yourselfhows compare answer least favorably recommend 5stars,5star retardant ofc mcdonalds go well oiled mcdonalds 25 star must people prejudice fast food joint yes thing like want mickey d could much worse like la cienega place owned different people show staff friendly actually open 247 order deelish youre reviewing dont compare mastros compare mcdonalds think ask yourselfhows compare answer least favorably recommend 5stars,-0.020833333333333332,0.5333333333333333
1,This place can get a little tricky and can have a lot going on in the area sometimes but you can't beat the food here I will tell you that! I was on YouTube and saw a hack that you can try the Mcchicken and McDouble and put it together like it's a Big Mac. That's exactly what I did! And just like in the picture it is as good as it looks! Thank me later,this place can get a little tricky and can have a lot going on in the area sometimes but you can't beat the food here i will tell you that! i was on youtube and saw a hack that you can try the mcchicken and mcdouble and put it together like it's a big mac. that's exactly what i did! and just like in the picture it is as good as it looks! thank me later,this place can get a little tricky and can have a lot going on in the area sometimes but you cant beat the food here i will tell you that i was on youtube and saw a hack that you can try the mcchicken and mcdouble and put it together like its a big mac thats exactly what i did and just like in the picture it is as good as it looks thank me later,place get little tricky lot going area sometimes cant beat food tell youtube saw hack try mcchicken mcdouble put together like big mac thats exactly like picture good looks thank later,place little tricky lot going area sometimes cant beat food youtube saw hack try mcchicken mcdouble put together like big mac thats exactly like picture good looks thank later,place little tricky lot going area sometimes cant beat food youtube saw hack try mcchicken mcdouble put together like big mac thats exactly like picture good look thank later,0.1525,0.29000000000000004
2,Ketchup in the bag. Yes of course sir. No ketchup. Cold food bad service. Shame to the franchise.,ketchup in the bag. yes of course sir. no ketchup. cold food bad service. shame to the franchise.,ketchup in the bag yes of course sir no ketchup cold food bad service shame to the franchise,ketchup bag yes course sir ketchup cold food bad service shame franchise,ketchup bag yes course sir ketchup cold food bad service shame franchise,ketchup bag yes course sir ketchup cold food bad service shame franchise,-0.6499999999999999,0.8333333333333333
3,This location was ok. Went there yesterday for a cup of coffee and a sandwich. The service was slow. The staff was bit rude to served my order. I got my order but I'll think twice before going back again there.,this location was ok. went there yesterday for a cup of coffee and a sandwich. the service was slow. the staff was bit rude to served my order. i got my order but i'll think twice before going back again there.,this location was ok went there yesterday for a cup of coffee and a sandwich the service was slow the staff was bit rude to served my order i got my order but ill think twice before going back again there,location ok went yesterday cup coffee sandwich service slow staff bit rude served order got order ill think twice going back,location ok went yesterday cup coffee sandwich service slow staff bit rude served order got order ill think twice going back,location ok went yesterday cup coffee sandwich service slow staff bit rude served order got order ill think twice going back,-0.12000000000000002,0.5
4,They are now open 24 hours!  Yay!!! Totally helped me after working so late today. Very happy,they are now open 24 hours!  yay!!! totally helped me after working so late today. very happy,they are now open 24 hours  yay totally helped me after working so late today very happy,open 24 hours yay totally helped working late today happy,open 24 hours yay totally helped working late today happy,open 24 hour yay totally helped working late today happy,0.125,0.7125
5,"In the drive-thru, food took more than two hours to arrive. Food arrived mushy, burnt, cold, and took so long to prepare that the ice in the cup had melted. At any time of day, I would never suggest this terrible service.","in the drive-thru, food took more than two hours to arrive. food arrived mushy, burnt, cold, and took so long to prepare that the ice in the cup had melted. at any time of day, i would never suggest this terrible service.",in the drivethru food took more than two hours to arrive food arrived mushy burnt cold and took so long to prepare that the ice in the cup had melted at any time of day i would never suggest this terrible service,drivethru food took two hours arrive food arrived mushy burnt cold took long prepare ice cup melted time day would never suggest terrible service,drivethru food took hours arrive food arrived mushy burnt cold took long prepare ice cup melted time day would never suggest terrible service,drivethru food took hour arrive food arrived mushy burnt cold took long prepare ice cup melted time day would never suggest terrible service,-0.5499999999999999,0.7999999999999999
6,"Do NOT waste your time at this Mc Donald's. I REPEAT, DO NOT WASTE YOUR TIME AT THIS MC DONALDS. Today I visited this location in the early morning for a cup of coffee and a sandwich. First off the worker kept cutting me off as I was ordering and I had to place my order 3 different times and then they STILL did not get the order right. When I got to the window they told me they were only accepting cash obviously as a way to make those higher end customers (like me) go away. Well I had plenty of cash and I love immigrant workers but at this location they are doing a horrible job at the service. NEVER AGAIN WILL I WASTE MY TIME HERE.","do not waste your time at this mc donald's. i repeat, do not waste your time at this mc donalds. today i visited this location in the early morning for a cup of coffee and a sandwich. first off the worker kept cutting me off as i was ordering and i had to place my order 3 different times and then they still did not get the order right. when i got to the window they told me they were only accepting cash obviously as a way to make those higher end customers (like me) go away. well i had plenty of cash and i love immigrant workers but at this location they are doing a horrible job at the service. never again will i waste my time here.",do not waste your time at this mc donalds i repeat do not waste your time at this mc donalds today i visited this location in the early morning for a cup of coffee and a sandwich first off the worker kept cutting me off as i was ordering and i had to place my order 3 different times and then they still did not get the order right when i got to the window they told me they were only accepting cash obviously as a way to make those higher end customers like me go away well i had plenty of cash and i love immigrant workers but at this location they are doing a horrible job at the service never again will i waste my time here,waste time mc donalds repeat waste time mc donalds today visited location early morning cup coffee sandwich first worker kept cutting ordering place order 3 different times still get order right got window told accepting cash obviously way make higher end customers like go away well plenty cash love immigrant workers location horrible job service never waste time,waste time mc donalds repeat waste time mc donalds today visited location early morning cup coffee sandwich first worker kept cutting ordering place order 3 different times still order right got window told accepting cash obviously way make higher end customers like away well plenty cash love immigrant workers location horrible job service never waste time,waste time mc donalds repeat waste time mc donalds today visited location early morning cup coffee sandwich first worker kept cutting ordering place order 3 different time still order right got window told accepting cash obviously way make higher end customer like away well plenty cash love immigrant worker location horrible job service never waste time,-0.042857142857142864,0.4390873015873016
7,"Service here is terrible. Specifically one particular person, Don't know her name don't care. She's always rude and disrespectful and has awful energy. They need to get rid of her.","service here is terrible. specifically one particular person, don't know her name don't care. she's always rude and disrespectful and has awful energy. they need to get rid of her.",service here is terrible specifically one particular person dont know her name dont care shes always rude and disrespectful and has awful energy they need to get rid of her,service terrible specifically one particular person dont know name dont care shes always rude disrespectful awful energy need get rid,service terrible specifically particular person dont know name dont care shes always rude disrespectful awful energy need rid,service terrible specifically particular person dont know name dont care shes always rude disrespectful awful energy need rid,-0.5333333333333333,0.7333333333333333
8,I ordered well done fries with a burger. Fries were not well done so I had to pull over in the drive up area. 15 minutes later the fries were delivered- the burger was now cold. Told the worker who just shrugged- like oh well - you just got taken for $11.99 for a meal you don't want to eat now!  The best thing was the iced tea! Skip this place.,i ordered well done fries with a burger. fries were not well done so i had to pull over in the drive up area. 15 minutes later the fries were delivered- the burger was now cold. told the worker who just shrugged- like oh well - you just got taken for $11.99 for a meal you don't want to eat now!  the best thing was the iced tea! skip this place.,i ordered well done fries with a burger fries were not well done so i had to pull over in the drive up area 15 minutes later the fries were delivered the burger was now cold told the worker who just shrugged like oh well  you just got taken for 1199 for a meal you dont want to eat now  the best thing was the iced tea skip this place,ordered well done fries burger fries well done pull drive area 15 minutes later fries delivered burger cold told worker shrugged like oh well got taken 1199 meal dont want eat best thing iced tea skip place,ordered well done fries burger fries well done pull drive area 15 minutes later fries delivered burger cold told worker shrugged like oh well got taken 1199 meal dont want eat best thing iced tea skip place,ordered well done fry burger fry well done pull drive area 15 minute later fry delivered burger cold told worker shrugged like oh well got taken 1199 meal dont want eat best thing iced tea skip place,0.13333333333333333,0.43333333333333335
9,"Nice floor and sitting area, clean store, food ok. Nice staffs. Much better than many other MDs","nice floor and sitting area, clean store, food ok. nice staffs. much better than many other mds",nice floor and sitting area clean store food ok nice staffs much better than many other mds,nice floor sitting area clean store food ok nice staffs much better many mds,nice floor sitting area clean store food ok nice staffs much better many mds,nice floor sitting area clean store food ok nice staff much better many md,0.5111111111111112,0.7000000000000001
